word,count
"('of', 'the')",663
"('in', 'the')",616
"('you', 'will')",614
"('about', 'the')",528
"('experience', 'with')",510
"('experience', 'in')",461
"('the', 'job')",443
"('on', 'the')",443
"('this', 'role')",386
"('as', 'a')",378
"('for', 'this')",375
"('the', 'world')",374
"('machine', 'learning')",366
"('years', 'of')",353
"('will', 'be')",342
"('we', 'are')",335
"('if', 'you')",331
"('with', 'a')",325
"('this', 'position')",322
"('you', 'll')",320
"('ability', 'to')",292
"('range', 'for')",289
"('and', 'the')",289
"('in', 'a')",284
"('s', 'degree')",257
"('based', 'on')",257
"('computer', 'science')",252
"('e', 'g')",251
"('to', 'be')",251
"('of', 'experience')",251
"('such', 'as')",251
"('an', 'equal')",245
"('or', 'related')",243
"('have', 'a')",241
"('for', 'the')",240
"('we', 're')",239
"('design', 'and')",239
"('to', 'the')",237
"('in', 'our')",233
"('with', 'the')",228
"('committed', 'to')",227
"('is', 'an')",224
"('equal', 'opportunity')",222
"('a', 'disability')",222
"('the', 'base')",220
"('base', 'salary')",219
"('and', 'other')",218
"('national', 'origin')",217
"('sexual', 'orientation')",217
"('the', 'team')",205
"('data', 'science')",204
"('is', 'a')",203
"('veteran', 'status')",200
"('degree', 'in')",198
"('to', 'help')",197
"('pay', 'range')",197
"('or', 'equivalent')",196
"('fair', 'chance')",196
"('skills', 'and')",194
"('opportunity', 'employer')",193
"('for', 'employment')",192
"('and', 'we')",192
"('do', 'not')",188
"('more', 'about')",187
"('teams', 'to')",184
"('of', 'a')",181
"('artificial', 'intelligence')",179
"('of', 'our')",178
"('part', 'of')",176
"('to', 'work')",175
"('in', 'this')",174
"('in', 'computer')",172
"('the', 'following')",170
"('bachelor', 's')",169
"('qualified', 'applicants')",167
"('and', 'experience')",166
"('salary', 'range')",164
"('looking', 'for')",162
"('understanding', 'of')",159
"('preferred', 'qualifications')",156
"('position', 'is')",154
"('during', 'the')",152
"('to', 'a')",151
"('our', 'customers')",151
"('not', 'discriminate')",150
"('what', 'you')",149
"('you', 'have')",148
"('work', 'with')",148
"('or', 'other')",148
"('to', 'ensure')",147
"('equal', 'employment')",143
"('disability', 'or')",143
"('the', 'application')",143
"('applicants', 'with')",143
"('gender', 'identity')",142
"('related', 'field')",142
"('race', 'religion')",142
"('the', 'next')",139
"('within', 'the')",137
"('employment', 'opportunity')",137
"('collaborate', 'with')",137
"('for', 'a')",137
"('the', 'future')",136
"('we', 'do')",135
"('to', 'create')",135
"('closely', 'with')",135
"('san', 'francisco')",135
"('the', 'best')",135
"('across', 'the')",134
"('one', 'of')",133
"('in', 'addition')",133
"('to', 'build')",132
"('for', 'more')",132
"('total', 'compensation')",132
"('at', 'the')",131
"('base', 'pay')",131
"('are', 'committed')",130
"('u', 's')",129
"('hiring', 'process')",128
"('of', 'employment')",128
"('to', 'deliver')",127
"('learn', 'more')",126
"('on', 'a')",126
"('eligible', 'for')",126
"('be', 'an')",124
"('status', 'disability')",124
"('more', 'information')",124
"('the', 'basis')",124
"('basis', 'of')",124
"('marital', 'status')",122
"('science', 'or')",121
"('may', 'be')",119
"('future', 'of')",118
"('and', 'ai')",117
"('protected', 'by')",117
"('software', 'development')",115
"('generative', 'ai')",115
"('as', 'well')",113
"('please', 'visit')",113
"('los', 'angeles')",112
"('world', 's')",112
"('well', 'as')",112
"('visit', 'https')",112
"('knowledge', 'of')",110
"('you', 'are')",110
"('job-related', 'knowledge')",110
"('knowledge', 'skills')",110
"('software', 'engineering')",109
"('working', 'with')",108
"('data', 'and')",108
"('experience', 'working')",107
"('master', 's')",106
"('proud', 'to')",106
"('job', 'duties')",106
"('determined', 'by')",105
"('access', 'to')",105
"('as', 'part')",105
"('be', 'eligible')",105
"('to', 'make')",104
"('the', 'most')",104
